UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2019,29,4813805,2443819,2369986,1784257,1703249,377922,379888,36198,33069,171314,177694,7908,7167,66220,68919,1842049,1763451,405083,410116,56818,54335,197986,204338,14552,13768,1931679,1902311,1336341,1296309,351514,353907,20301,19669,165989,172483,5673,5359,51861,54584,1381413,1343839,372349,377541,34555,34549,188807,195296,10899,10612,512140,467675,447916,406940,26408,25981,15897,13400,5325,5211,2235,1808,14359,14335,460636,419612,32734,32575,22263,19786,9179,9042,3653,3156
R,7,2019,30,4621434,2344379,2277055,1719288,1637539,351662,358272,34579,31147,170134,179334,7624,6805,61092,63958,1772548,1693224,376277,385836,54048,50818,194669,204611,13758,13056,1856590,1834906,1292630,1252506,326634,333677,19100,18440,165142,174222,5598,5132,47486,50929,1333879,1296682,345140,355291,32366,32345,186154,195994,10490,10119,487789,442149,426658,385033,25028,24595,15479,12707,4992,5112,2026,1673,13606,13029,438669,396542,31137,30545,21682,18473,8515,8617,3268,2937
R,7,2019,31,4509231,2284570,2224661,1691028,1613683,328792,337552,33876,30465,165539,175606,7586,6748,57749,60607,1741154,1666505,351401,363434,52222,49247,189272,199632,13663,12741,1799083,1788570,1265232,1233527,304847,313638,18326,17730,160734,170811,5464,5090,44480,47774,1303667,1275089,321605,333503,30595,30837,181040,191423,10242,9897,485487,436091,425796,380156,23945,23914,15550,12735,4805,4795,2122,1658,13269,12833,437487,391416,29796,29931,21627,18410,8232,8209,3421,2844
R,7,2019,32,4428409,2243126,2185283,1672144,1592472,314100,325535,32704,29453,162530,172777,7455,6665,54193,58381,1719222,1643368,335295,350165,50345,48065,184638,195842,13050,12355,1765850,1754654,1252525,1216593,291120,302245,17597,17084,157745,168145,5332,4933,41531,45654,1288366,1256247,306640,320986,29408,29958,176687,187935,9818,9458,477276,430629,419619,375879,22980,23290,15107,12369,4785,4632,2123,1732,12662,12727,430856,387121,28655,29179,20937,18107,7951,7907,3232,2897
R,7,2019,33,4439376,2246478,2192898,1684044,1606424,306599,321106,32443,29404,163057,173510,7560,6751,52775,55703,1729825,1654667,326695,344156,49882,47622,184604,195564,13232,12394,1764965,1761245,1260413,1228950,283583,297880,16927,16797,158327,168974,5396,5104,40319,43540,1295197,1266486,298156,315384,28584,29568,176721,187805,9907,9633,481513,431653,423631,377474,23016,23226,15516,12607,4730,4536,2164,1647,12456,12163,434628,388181,28539,28772,21298,18054,7883,7759,3325,2761
R,7,2019,34,4465782,2251947,2213835,1694632,1624904,303512,320668,31807,29395,163595,177079,7465,6698,50936,55091,1738783,1672707,322560,342737,49014,47707,184386,199226,13022,12340,1769059,1778554,1269099,1243978,280971,297380,16521,16767,158903,172578,5268,5063,38297,42788,1302029,1280927,294456,313771,27841,29540,176565,191578,9651,9573,482888,435281,425533,380926,22541,23288,15286,12628,4692,4501,2197,1635,12639,12303,436754,391780,28104,28966,21173,18167,7821,7648,3371,2767
R,7,2019,35,4319903,2169353,2150550,1634123,1578415,287160,308547,31008,28679,161541,175447,7126,6476,48395,52986,1675987,1624302,305052,329191,47627,46678,181433,197037,12397,12048,1704626,1724431,1224436,1205063,265672,286266,16063,16225,156903,171140,5085,4817,36467,40920,1255761,1240332,278347,301455,27064,28719,173798,189524,9236,9262,464727,426119,409687,373352,21488,22281,14945,12454,4638,4307,2041,1659,11928,12066,420226,383970,26705,27736,20563,17959,7635,7513,3161,2786
R,7,2019,36,4375917,2192859,2183058,1657052,1605015,288770,312926,31454,29214,159695,176137,7199,6663,48689,53103,1699205,1650826,306595,333549,48273,47631,179600,197545,12530,12281,1722494,1748755,1241831,1225040,267366,289674,16150,16436,155099,171703,5165,4978,36883,40924,1273504,1260148,280002,304804,27476,29197,172011,189979,9390,9452,470365,434303,415221,379975,21404,23252,15304,12778,4596,4434,2034,1685,11806,12179,425701,390678,26593,28745,20797,18434,7589,7566,3140,2829
R,7,2019,37,4365049,2182848,2182201,1653279,1606658,286700,313379,30846,28495,157560,175315,7216,6589,47247,51765,1694138,1651228,303891,333717,47624,46733,176609,195873,12463,12067,1714319,1745418,1239647,1223553,265273,290507,15860,15749,152970,170750,5159,4849,35410,40010,1270004,1257812,277363,305521,27017,28506,168989,188262,9302,9236,468529,436783,413632,383105,21427,22872,14986,12746,4590,4565,2057,1740,11837,11755,424134,393416,26528,28196,20607,18227,7620,7611,3161,2831
R,7,2019,38,4308805,2150947,2157858,1635408,1592741,282899,311143,29946,28406,149246,168720,6984,6174,46464,50674,1675358,1636491,299823,331151,46594,46288,167962,188570,12171,11542,1691199,1726689,1229132,1214602,262207,288463,15246,15921,144655,164259,4978,4519,34981,38925,1258974,1247980,274144,303067,26407,28350,160502,181196,9071,8856,459748,431169,406276,378139,20692,22680,14700,12485,4591,4461,2006,1655,11483,11749,416384,388511,25679,28084,20187,17938,7460,7374,3100,2686
